Title; death_cause; Occupation; Death_Year; Birth_Year; Death_Place
Alluri_Sitarama_Raju​​​​;Shooting​​​​;None​​​​;1924​​​​;1897​​​​;Visakhapatnam district​​​​
Alma_Muriel​​​​;Myocardial infarction​​​​;Alma_Muriel__1​​​​;2014​​​​;1951​​​​;['Quintana Roo', 'Playa del Carmen', 'Mexico']​​​​
Alma_Rubens​​​​;['Bronchitis', 'Lobar pneumonia']​​​​;['Alma_Rubens__1', 'Actor']​​​​;1931​​​​;1897​​​​;['California', 'Los Angeles']​​​​
Alois_Hitler​​​​;Pleural effusion​​​​;['Alois_Hitler__1', 'Customs officer']​​​​;1903​​​​;1837​​​​;['Austria-Hungary', 'Linz', 'Upper Austria']​​​​
Alonzo_Fields​​​​;Leukemia​​​​;['Alonzo_Fields__1', 'Butler']​​​​;1994​​​​;1900​​​​;None​​​​
Aloysius_Bertrand​​​​;Tuberculosis​​​​;Aloysius_Bertrand__1​​​​;1841​​​​;1807​​​​;First French Empire​​​​
Alpheus_George_Barnes_Stonehouse​​​​;Pneumonia​​​​;None​​​​;1931​​​​;1862​​​​;Indio California​​​​
Alvin_P._Shapiro​​​​;Renal failure​​​​;['Alvin_P._Shapiro__1', 'Physician', 'Teacher']​​​​;1998​​​​;1920​​​​;Pittsburgh​​​​
Alvina_Krause​​​​;Heart failure​​​​;Alvina_Krause__1​​​​;1981​​​​;1893​​​​;Bloomsburg Pennsylvania​​​​
Alvy_Moore​​​​;Myocardial infarction​​​​;Alvy_Moore__1​​​​;1997​​​​;1921​​​​;['California', 'Palm Desert California']​​​​
Amadeu_Vives_i_Roig​​​​;['Asthma', 'Myocarditis']​​​​;['Amadeu_Vives_i_Roig__1', 'Writer', 'Composer', 'Impresario']​​​​;1932​​​​;1871​​​​;['Spain', 'Madrid']​​​​
Amadeus_William_Grabau​​​​;Internal bleeding​​​​;['Amadeus_William_Grabau__1', 'Paleontology']​​​​;1946​​​​;1870​​​​;Beijing​​​​
Amanda_Randolph​​​​;Stroke​​​​;['Amanda_Randolph__1', 'Actor']​​​​;1967​​​​;1896​​​​;Duarte California​​​​
Ambrose_Olsen​​​​;Suicide by hanging​​​​;['Model (people)', 'Supermodel']​​​​;2010​​​​;1985​​​​;['New York City', 'United States']​​​​
Amelia_Boynton_Robinson​​​​;Stroke​​​​;['Amelia_Boynton_Robinson__1', 'Civil and political rights']​​​​;2015​​​​;1911​​​​;None​​​​
Antony_Hamilton​​​​;AIDS​​​​;Antony_Hamilton__1​​​​;1995​​​​;1952​​​​;['California', 'Los Angeles']​​​​
Anuradha_Ghandy​​​​;Plasmodium falciparum​​​​;None​​​​;2008​​​​;1954​​​​;['India', 'Mumbai']​​​​
